"Learning Block","Duration (Minutes)","Course","Modality","Workday Learning Link","Resource"
"Learning Block 15","1","Soluto_ASCND_VZW_LB15 Call Flow Stage 5: Confirm, Recap, & Close Intro Video","Video",,
"Learning Block 15","15","Soluto_ASCND_VZW_The Closing Framework ","CBT",,
"Learning Block 15","5","Soluto_VZW_ASCEND_Call_Flow_Closing_Email_Send_Resolution_Confirmation_Simulation","Simulation",,
"Learning Block 15","15","Soluto_VZW_ASCEND_Call_Flow_Closing_Three_Part_Close_Simulation","Simulation",,
"Learning Block 15","5","Soluto_VZW_ASCEND_Call_Flow_Closing_Partial_Resolution_Verizon_Family_Simulation","Simulation",,
"Learning Block 15","3","Soluto_VZW_ASCEND_Call_Flow_Closing_Escalation_Closeout_Ownership_Expectations_Simulation","Simulation",,
"Learning Block 15","1","Soluto_ASCND_VZW_LB15 Call Flow Stage 5: Confirm, Recap, & Close Intro Video","Video",,
"Learning Block 16",,"Soluto_ASCND_VZW_LB16 Expert Readiness- Training Closing Trainer Guide","Trainer Guide",,
"Learning Block 16","1","Soluto_ASCND_VZW_LB16 Expert Readiness- Training Closing Intro Video","Video",,
"Learning Block 16","15","Asurion_ASCND_All Using Aspect and Reporting Downtime Procedures","CBT",,
"Learning Block 16","15","Soluto_ASCND_VZW_Metrics Overview","CBT","https://wd5.myworkday.com/asurion/learning/course/20008859412510010d9085ba6caa0000",
"Learning Block 16","10","Soluto_ASCND_VZW_Verizon Yubikey Registration","CBT",,
"Learning Block 16","105","Verizon Required Courses","Resource","https://wd5.myworkday.com/asurion/d/inst/1$17816/17816$1231.htmld",
"Learning Block 16","15","Soluto_VZW_ASCEND_Production_Readiness_Mixed_Queue_Activation_Content_Transfer_Simulation","Simulation",,
"Learning Block 16","15","Soluto_VZW_ASCEND_Production_Readiness_Mixed_Queue_App_Slowness_Device_Performance_Call_Simulation","Simulation",,
"Learning Block 16","15","Soluto_VZW_ASCEND_Production_Readiness_Readiness_Gate_No_Network_TRG_Smart_Offer_Simulation","Simulation",,
"Learning Block 16","15","Soluto_VZW_ASCEND_Production_Readiness_Readiness_Gate_Insurance_Replacement_Activation_Call_Simulation","Simulation",,
"Learning Block 16","1","Soluto_ASCND_VZW_LB16 Expert Readiness- Training Closing Outro Video","Video",,
